what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606260108
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1382606260139
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606263654
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606277701
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1382606277748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1382606277748
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606280389
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1382606325842
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1382606334014
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1382606357826
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1382606372451
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1382606376967
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606379404
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1382606379451
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1382606381170
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606381451
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1382606381498
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606383623
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1382606387529
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1382606392029
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1382606392123
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382606397123
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606398998
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606487076
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1382606487139
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606490639
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606497576
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1382606497592
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1382606497592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606498904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606533248
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1382606533295
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1382606535311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606535576
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606555576
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1382606558436
